index,name,date,city,state,country,latitude,longitude
1,Shakira - Las Mujeres Ya No Lloran - World Tour,11/3/24,Palm Desert,California,United States Of America,33.825315,-116.542747
2,Shakira - Las Mujeres Ya No Lloran - World Tour,11/25/24,Washington,District of Columbia,United States Of America,38.897412,-77.020029
3,Shakira - Las Mujeres Ya No Lloran - World Tour,12/5/24,Brooklyn,New York,United States Of America,40.68285,-73.97519
4,Shakira - Las Mujeres Ya No Lloran - World Tour,12/6/24,Brooklyn,New York,United States Of America,40.68285,-73.97519
5,Besame Mucho,12/21/24,Los Angeles,California,United States Of America,34.07359365,-118.2399223
28,Shakira - Las Mujeres Ya No Lloran - World Tour,5/13/25,Charlotte,North Carolina,United States Of America,35.225789,-80.852829
29,Shakira - Las Mujeres Ya No Lloran - World Tour,5/15/25,East Rutherford,New Jersey,United States Of America,40.81359,-74.074493
31,Shakira - Las Mujeres Ya No Lloran - World Tour,5/22/25,Detroit,Michigan,United States Of America,42.341089,-83.055434
33,Shakira - Las Mujeres Ya No Lloran - World Tour - Platinum Tickets,5/29/25,Boston,Massachusetts,United States Of America,42.3464072,-71.0986584
34,Shakira - Las Mujeres Ya No Lloran - World Tour,5/29/25,Boston,Massachusetts,United States Of America,42.346901,-71.102501
35,Shakira - Las Mujeres Ya No Lloran - World Tour,5/29/25,Boston,Massachusetts,United States Of America,42.3464072,-71.0986584
36,Shakira - Las Mujeres Ya No Lloran - World Tour,5/31/25,Washington,District of Columbia,United States Of America,38.873005,-77.007412
37,Shakira - Las Mujeres Ya No Lloran - World Tour,6/4/25,Orlando,Florida,United States Of America,28.538255,-81.402071
38,Shakira - Las Mujeres Ya No Lloran - World Tour,6/6/25,Miami,Florida,United States Of America,25.957928,-80.238866
39,Shakira - Las Mujeres Ya No Lloran - World Tour,6/11/25,Arlington,Texas,United States Of America,32.747242,-97.083796
40,Shakira - Las Mujeres Ya No Lloran - World Tour,6/13/25,San Antonio,Texas,United States Of America,29.41705466,-98.4791514
41,Shakira - Las Mujeres Ya No Lloran - World Tour,6/15/25,Houston,Texas,United States Of America,29.7520386,-95.3623133
42,Shakira - Las Mujeres Ya No Lloran - World Tour,6/15/25,Houston,Texas,United States Of America,29.759399,-95.362999
43,Shakira - Las Mujeres Ya No Lloran - World Tour,6/20/25,Inglewood,California,United States Of America,33.950529,-118.343767
44,Shakira - Las Mujeres Ya No Lloran - World Tour,6/22/25,Phoenix,Arizona,United States Of America,33.445899,-112.071313
45,Shakira - Las Mujeres Ya No Lloran - World Tour,6/26/25,San Diego,California,United States Of America,32.78451,-117.1212
46,Shakira - Las Mujeres Ya No Lloran - World Tour,6/28/25,Las Vegas,Nevada,United States Of America,36.0909,-115.1833
47,Shakira - Las Mujeres Ya No Lloran - World Tour,6/30/25,San Francisco,California,United States Of America,37.77840589,-122.3894401